iter	Logloss
0	0.6843921437
1	0.6767030604
2	0.6681233895
3	0.6614248452
4	0.653559837
5	0.6464918121
6	0.6400443326
7	0.6324962969
8	0.6256123391
9	0.6187142765
10	0.6125999899
11	0.6059412596
12	0.5997929293
13	0.593134263
14	0.5868575152
15	0.5815800258
16	0.5764203753
17	0.5703378245
18	0.5644408154
19	0.5594688864
20	0.5544405384
21	0.5495826657
22	0.5438983821
23	0.5391818135
24	0.5342954107
25	0.5298849795
26	0.5258638077
27	0.5212325409
28	0.5173465825
29	0.5131812536
30	0.5090833712
31	0.5042607283
32	0.5000998233
33	0.4958978861
34	0.4924142661
35	0.4884182585
36	0.484693415
37	0.4806936569
38	0.4773101807
39	0.474062014
40	0.4708937637
41	0.4670719499
42	0.4642894649
43	0.4606894165
44	0.4571086339
45	0.4541688166
46	0.450528826
47	0.4471553193
48	0.4440127461
49	0.4413444455
50	0.4384831661
51	0.4358216935
52	0.4330909152
53	0.4299116375
54	0.4272236544
55	0.4246828736
56	0.4222260483
57	0.4209475477
58	0.4189976283
59	0.4169209905
60	0.4144639087
61	0.4122202897
62	0.4103665071
63	0.4084730389
64	0.4069795689
65	0.4056126571
66	0.4035400262
67	0.401489386
68	0.3992896841
69	0.3975397639
70	0.3964866831
71	0.3947871232
72	0.3931143624
73	0.3912045134
74	0.389933514
75	0.3889217858
76	0.3866146953
77	0.3849201363
78	0.382806794
79	0.3810657533
80	0.3791733429
81	0.377987517
82	0.376128381
83	0.3747899031
84	0.3731684965
85	0.3716039898
86	0.3698587498
87	0.3679071955
88	0.366660078
89	0.3654361693
90	0.3636963147
91	0.3622860307
92	0.3612002846
93	0.3597532641
94	0.3582430928
95	0.3566859269
96	0.356033229
97	0.3549462968
98	0.3538616405
99	0.3525009476
100	0.3510789631
101	0.3501086195
102	0.3485583458
103	0.3473445347
104	0.3460063453
105	0.3456474432
106	0.3443199607
107	0.3432160706
108	0.341989982
109	0.3408475603
110	0.3394433671
111	0.3385599601
112	0.3378176008
113	0.3369448365
114	0.3356923977
115	0.3344650269
116	0.3334927599
117	0.3325627111
118	0.331725401
119	0.3308763264
120	0.3296410376
121	0.3289595852
122	0.3282728756
123	0.3274367517
124	0.3264120727
125	0.3255359425
126	0.3248343908
127	0.3242802981
128	0.3237024516
129	0.3227440329
130	0.3219993014
131	0.3209223387
132	0.3198106269
133	0.3186558956
134	0.3177940305
135	0.3171604701
136	0.3163464971
137	0.315357048
138	0.3146527395
139	0.3138622637
140	0.3130327113
141	0.3122286115
142	0.3112332961
143	0.3106171424
144	0.3094143908
145	0.3087288993
146	0.3079460208
147	0.3072243057
148	0.306660564
149	0.3058553744
150	0.3047128245
151	0.3039773252
152	0.3031351106
153	0.3025359466
154	0.3015844521
155	0.3012388213
156	0.300550541
157	0.2998917844
158	0.299006999
159	0.298223223
160	0.2974780427
161	0.296913724
162	0.2962852927
163	0.2956679849
164	0.2949609195
165	0.2941714375
166	0.2934349124
167	0.292731245
168	0.2921322734
169	0.2919770569
170	0.2915936318
171	0.2906983319
172	0.2896520791
173	0.2888447417
174	0.2882077514
175	0.2875905398
176	0.2869667246
177	0.2862803355
178	0.2859470143
179	0.285224594
180	0.2845096428
181	0.2837387854
182	0.2831876418
183	0.2822967978
184	0.2815305566
185	0.2811875223
186	0.280324439
187	0.2797029319
188	0.2794053534
189	0.2786575446
190	0.278221515
191	0.2775361838
192	0.2769761927
193	0.2762699287
194	0.2759148093
195	0.2753429253
196	0.2749255525
197	0.2746533306
198	0.2742816701
199	0.273722865
200	0.2733587698
201	0.2729548607
202	0.2726028506
203	0.2720054819
204	0.2715300231
205	0.2712853055
206	0.2706133418
207	0.270290535
208	0.2697588496
209	0.2692335113
210	0.2689281432
211	0.2686877211
212	0.2683901426
213	0.2679919235
214	0.2677779799
215	0.2672458617
216	0.2670456702
217	0.2664777932
218	0.2659511726
219	0.2652548622
220	0.2651472172
221	0.2644646268
222	0.2642862015
223	0.263425795
224	0.2631482677
225	0.2627367292
226	0.2621431751
227	0.261563277
228	0.2610715818
229	0.2604381978
230	0.2601223793
231	0.2594821193
232	0.2592291151
233	0.2588752779
234	0.25857919
235	0.258275024
236	0.2579014081
237	0.2573246836
238	0.2571226168
239	0.2567207753
240	0.2561641821
241	0.2557541342
242	0.2552712865
243	0.2548496022
244	0.2546098533
245	0.2541867585
246	0.2538481159
247	0.2536522681
248	0.2532225537
249	0.2530313219
250	0.2524064008
251	0.2519850851
252	0.2517202522
253	0.2512834533
254	0.2510197423
255	0.2506202089
256	0.2503487723
257	0.2497336444
258	0.2491145895
259	0.2488725806
260	0.2482032936
261	0.2478065811
262	0.2476475018
263	0.2471181725
264	0.2468334807
265	0.2463869047
266	0.2460222645
267	0.2456405383
268	0.2454868765
269	0.2450966715
270	0.2450263721
271	0.2448324636
272	0.2441778423
273	0.2438281083
274	0.243458804
275	0.2432292009
276	0.2428582456
277	0.2427547679
278	0.2423660535
279	0.2421950493
280	0.2418274759
281	0.2415825339
282	0.2413658655
283	0.2411073637
284	0.2407794439
285	0.2404010035
286	0.2401094517
287	0.2395703292
288	0.2394318941
289	0.2390617082
290	0.2387088647
291	0.2386643546
292	0.2383970693
293	0.2380086113
294	0.2376480744
295	0.2373081015
296	0.2370580946
297	0.2365803919
298	0.2363467016
299	0.2360893378
300	0.2357894673
301	0.2355719494
302	0.2352694664
303	0.2350261592
304	0.2347915393
305	0.2345746465
306	0.2341966709
307	0.2338687031
308	0.2337297712
309	0.2333736901
310	0.2329297907
311	0.2326631786
312	0.2323725885
313	0.2319386907
314	0.2317385473
315	0.2314525893
316	0.231179598
317	0.2309974542
318	0.2306977761
319	0.2303185343
320	0.2299733843
321	0.2299194015
322	0.2292420043
323	0.2287300815
324	0.2283546704
325	0.2280568676
326	0.227648695
327	0.2274139468
328	0.2272637952
329	0.2267193834
330	0.2266299785
331	0.2262751155
332	0.2260043521
333	0.2258520848
334	0.2257361212
335	0.2255460274
336	0.2252805373
337	0.2251255933
338	0.2249525695
339	0.2247800587
340	0.2241828021
341	0.2238883331
342	0.2236611182
343	0.2232602865
344	0.2231217072
345	0.2229120431
346	0.2227401413
347	0.2224763822
348	0.2221291807
349	0.2218510123
350	0.2214644616
351	0.2212348746
352	0.2209602805
353	0.2208339146
354	0.2206129667
355	0.2202270572
