iter	Passed	Remaining
0	142	28434
1	147	14569
2	149	9849
3	152	7479
4	156	6084
5	158	5119
6	160	4429
7	163	3935
8	166	3529
9	169	3215
10	171	2950
11	173	2721
12	176	2540
13	179	2383
14	183	2264
15	186	2144
16	189	2041
17	192	1944
18	195	1858
19	197	1779
20	201	1717
21	204	1655
22	207	1595
23	210	1542
24	212	1490
25	215	1445
26	218	1401
27	221	1360
28	224	1322
29	229	1301
30	234	1275
31	238	1250
32	242	1224
33	247	1208
34	250	1182
35	253	1153
36	256	1131
37	260	1110
38	264	1089
39	267	1071
40	271	1052
41	273	1030
42	276	1010
43	279	989
44	282	971
45	284	953
46	291	948
47	293	930
48	297	915
49	299	898
50	302	882
51	304	867
52	307	852
53	310	840
54	313	826
55	316	813
56	323	812
57	326	800
58	329	788
59	333	777
60	336	766
61	338	754
62	341	742
63	344	732
64	347	721
65	350	710
66	352	700
67	355	689
68	356	677
69	359	667
70	361	657
71	364	648
72	367	639
73	371	631
74	376	627
75	379	619
76	382	611
77	385	602
78	388	594
79	391	586
80	393	577
81	396	571
82	398	562
83	401	554
84	405	548
85	406	539
86	410	532
87	412	525
88	415	518
89	418	511
90	421	504
91	423	497
92	426	491
93	429	483
94	431	476
95	433	469
96	436	463
97	440	458
98	443	452
99	445	445
100	447	438
101	449	432
102	451	425
103	454	419
104	457	413
105	459	407
106	462	402
107	465	396
108	467	390
109	469	384
110	471	377
111	473	372
112	475	366
113	477	360
114	480	354
115	482	349
116	484	343
117	486	337
118	489	333
119	492	328
120	495	323
121	497	318
122	500	313
123	503	308
124	506	304
125	509	299
126	511	294
127	514	289
128	518	285
129	520	280
130	523	275
131	526	271
132	529	266
133	531	261
134	533	256
135	537	252
136	539	248
137	542	243
138	545	239
139	549	235
140	551	230
141	553	226
142	557	222
143	560	217
144	563	213
145	567	210
146	570	205
147	573	201
148	576	197
149	578	192
150	581	188
151	584	184
152	588	180
153	590	176
154	594	172
155	597	168
156	599	164
157	602	160
158	604	155
159	606	151
160	608	147
161	610	143
162	612	139
163	615	135
164	617	131
165	619	126
166	623	123
167	625	119
168	629	115
169	632	111
170	636	107
171	638	103
172	641	100
173	643	96
174	645	92
175	648	88
176	651	84
177	655	81
178	657	77
179	660	73
180	663	69
181	665	65
182	669	62
183	671	58
184	673	54
185	675	50
186	677	47
187	681	43
188	683	39
189	686	36
190	689	32
191	691	28
192	697	25
193	699	21
194	702	18
195	704	14
196	706	10
197	709	7
198	715	3
199	717	0
