iter	Passed	Remaining
0	3	656
1	6	648
2	9	617
3	11	586
4	15	601
5	21	700
6	24	671
7	27	651
8	30	650
9	34	648
10	36	633
11	39	620
12	45	657
13	48	649
14	52	647
15	57	656
16	59	644
17	63	641
18	66	629
19	69	625
20	74	639
21	77	630
22	83	639
23	86	633
24	91	638
25	94	630
26	98	629
27	101	623
28	105	620
29	107	611
30	110	603
31	114	601
32	118	597
33	121	592
34	124	587
35	127	582
36	130	573
37	132	565
38	135	558
39	138	552
40	140	546
41	144	543
42	147	538
43	150	534
44	154	532
45	157	527
46	165	537
47	172	547
48	175	541
49	178	536
50	191	558
51	197	561
52	204	567
53	208	563
54	211	557
55	217	558
56	225	564
57	228	558
58	231	552
59	238	557
60	245	559
61	249	554
62	252	549
63	258	550
64	266	553
65	269	546
66	282	561
67	286	555
68	288	548
69	291	541
70	296	538
71	299	532
72	301	525
73	304	518
74	310	517
75	318	519
76	334	533
77	344	539
78	348	534
79	355	532
80	357	525
81	361	520
82	363	512
83	367	507
84	370	501
85	372	493
86	375	487
87	380	484
88	385	480
89	388	474
90	391	469
91	395	464
92	399	459
93	401	453
94	404	447
95	407	441
96	409	435
97	415	432
98	419	427
99	422	422
100	426	418
101	430	413
102	433	408
103	436	402
104	439	397
105	442	392
106	444	386
107	448	381
108	452	377
109	455	372
110	457	366
111	461	362
112	463	357
113	467	352
114	471	348
115	475	344
116	481	341
117	484	336
118	488	332
119	490	327
120	493	321
121	495	316
122	498	311
123	500	306
124	502	301
125	506	297
126	509	292
127	512	288
128	515	283
129	519	279
130	521	274
131	524	270
132	528	266
133	531	261
134	533	256
135	535	252
136	538	247
137	540	242
138	543	238
139	546	234
140	548	229
141	551	225
142	553	220
143	556	216
144	560	212
145	563	208
146	566	204
147	569	200
148	573	196
149	575	191
150	578	187
151	581	183
152	584	179
153	586	175
154	589	171
155	591	166
156	593	162
157	596	158
158	599	154
159	601	150
160	605	146
161	607	142
162	609	138
163	612	134
164	614	130
165	618	126
166	620	122
167	622	118
168	625	114
169	627	110
170	630	106
171	632	102
172	634	99
173	637	95
174	640	91
175	642	87
176	645	83
177	648	80
178	651	76
179	653	72
180	658	69
181	662	65
182	665	61
183	668	58
184	671	54
185	673	50
186	677	47
187	680	43
188	683	39
189	685	36
190	687	32
191	690	28
192	692	25
193	696	21
194	698	17
195	701	14
196	704	10
197	711	7
198	716	3
199	720	0
