iter	Passed	Remaining
0	136	136449
1	137	68580
2	138	45943
3	139	34625
4	139	27782
5	140	23299
6	141	20053
7	142	17637
8	142	15730
9	143	14199
10	144	12957
11	144	11918
12	145	11045
13	146	10299
14	146	9645
15	147	9093
16	148	8592
17	149	8137
18	149	7733
19	150	7369
20	151	7054
21	151	6756
22	152	6481
23	153	6237
24	153	6005
25	154	5792
26	155	5593
27	155	5408
28	156	5235
29	157	5080
30	157	4931
31	158	4794
32	159	4666
33	159	4542
34	160	4427
35	161	4317
36	161	4211
37	162	4113
38	163	4020
39	163	3928
40	164	3856
41	165	3774
42	166	3705
43	167	3632
44	167	3562
45	168	3496
46	169	3431
47	169	3369
48	170	3309
49	171	3255
50	171	3200
51	172	3144
52	173	3100
53	174	3051
54	174	3005
55	175	2960
56	176	2915
57	177	2877
58	177	2837
59	178	2800
60	179	2762
61	180	2725
62	180	2688
63	181	2653
64	182	2618
65	182	2589
66	183	2557
67	184	2532
68	185	2503
69	186	2475
70	187	2447
71	187	2421
72	188	2393
73	189	2367
74	189	2343
75	190	2317
76	191	2292
77	192	2271
78	192	2247
79	193	2228
80	194	2206
81	195	2189
82	196	2167
83	197	2149
84	197	2129
85	198	2109
86	199	2091
87	199	2072
88	200	2053
89	201	2034
90	201	2017
91	203	2004
92	203	1986
93	204	1971
94	205	1955
95	205	1939
96	206	1925
97	207	1909
98	208	1896
99	209	1881
100	209	1867
101	210	1854
102	211	1839
103	212	1828
104	212	1813
105	213	1799
106	214	1787
107	214	1774
108	215	1763
109	216	1750
110	217	1742
111	218	1729
112	218	1717
113	219	1705
114	220	1693
115	220	1683
116	221	1672
117	222	1661
118	223	1651
119	223	1640
120	224	1631
121	267	1924
122	268	1912
123	268	1899
124	269	1886
125	270	1875
126	271	1863
127	272	1857
128	273	1845
129	274	1834
130	274	1822
131	275	1814
132	276	1802
133	278	1797
134	279	1793
135	280	1782
136	282	1777
137	282	1766
138	283	1757
139	284	1746
140	284	1735
141	285	1725
142	286	1714
143	287	1708
144	288	1703
145	289	1693
146	290	1683
147	291	1676
148	291	1666
149	292	1658
150	293	1648
151	294	1640
152	294	1632
153	295	1623
154	296	1615
155	296	1606
156	298	1604
157	299	1598
158	300	1589
159	301	1582
160	302	1574
161	302	1565
162	308	1582
163	309	1575
164	309	1567
165	310	1559
166	311	1554
167	312	1546
168	313	1540
169	314	1537
170	316	1535
171	317	1527
172	318	1524
173	319	1516
174	320	1513
175	321	1505
176	322	1500
177	323	1494
178	324	1487
179	325	1480
180	325	1475
181	326	1468
182	327	1460
183	327	1454
184	328	1447
185	329	1441
186	330	1436
187	331	1432
188	332	1426
189	333	1421
190	333	1414
191	335	1411
192	336	1405
193	336	1399
194	337	1393
195	338	1386
196	338	1381
197	339	1375
198	340	1371
199	341	1365
200	343	1365
201	344	1362
202	345	1356
203	381	1490
204	382	1485
205	384	1481
206	385	1475
207	386	1470
208	386	1464
209	388	1460
210	388	1454
211	389	1448
212	390	1443
213	391	1437
214	392	1433
215	393	1428
216	394	1422
217	395	1417
218	395	1411
219	396	1406
220	397	1401
221	399	1401
222	401	1399
223	402	1396
224	403	1390
225	404	1386
226	405	1381
227	406	1376
228	407	1370
229	408	1366
230	408	1360
231	410	1358
232	412	1356
233	413	1353
234	414	1348
235	415	1345
236	416	1340
237	417	1337
238	421	1343
239	423	1342
240	424	1337
241	425	1332
242	426	1327
243	427	1325
244	428	1320
245	429	1315
246	430	1310
247	431	1308
248	432	1303
249	433	1300
250	434	1295
251	434	1290
252	436	1289
253	437	1284
254	438	1281
255	439	1276
256	439	1271
257	446	1284
258	447	1279
259	450	1281
260	451	1277
261	451	1272
262	452	1267
263	452	1262
264	453	1258
265	454	1254
266	456	1252
267	457	1250
268	458	1245
269	459	1241
270	459	1236
271	460	1232
272	462	1230
273	465	1232
274	465	1228
275	467	1226
276	468	1222
277	469	1218
278	469	1214
279	470	1210
280	471	1205
281	471	1201
282	472	1197
283	473	1193
284	474	1189
